review
Great set up mate
Can you send mee the helmet bro😢
Junk. DJI wireless mic. Thank me later...
"hey man, thats awesome set up, may i ask you what curved arm is that? i finally bought a gopro, but i figure it out that the record stand aside the center of the helmet, but you find a clever way to fix it! thats great!"
What mic is that?
"Bro, Name of that helmet ?"
How to attach the mic adapter to the helmet?
Hi! how do you record your videos vertically when your cam is horizontal? co you crop them? thank you for answer
Can this setup withstand normal rain condition whie riding?
What mic you got
Barry Kripke reviews.
do you have any cover for the gopro camera
Name of chin mount?
I know I’m a little late but what exactly is the mic? I can’t find it online.
What mount is that??
What mic? Please list all parts ❤
My dad is asking for the setup he wants to buy the same stuff
is this waterproof
Clean setup. I like it! 💪
Did you have to get a custom GoPro camera mount for that helmet and camera?
I like the way this is setup ❤
What mic is that ?
What mic is it ?
How do you transfer the vids that I take on there to ur phone-
What is this mount called?
What mic
That's a good set up brutha is the go pro mount adhesive
Where did you get that mount ?/ what is jt called ?
Can you give the link for the mic and the battery pack please
What mount is that?
Where i can get the mount for the gopro
What mic do you use?
Could you run a cardio on the same set up for when you’re not vlogging?
What mic is that? Do you connect it to a cardo or anything?
Is that red one a cable tie on  mic cable ?
"Hello, I just bought an hero 12, but when you connect your microphone to the GoPro and rain stars, doesn’t damage the mic? :) I’m looking for an microphone for my GoPro. Thanks"
What’s the mic adapter & mic you use?????
Bro what kind of mic u use like ik I see the lil box u using but what type of cable u use has the actual Mic
Which mic are you using?
Where did u get the stuff from pls
where did you buy it?
I started with YouTube 🫡
"So you showed us it, but we know nothing about it. Trying to start my own gig with filming daily Contant but don’t know where to start."
Konsi helmet jey
What is the mic called ?
Mate what brand is the gopro arm mount and mic you using just picked up a gopro 9 im in Thailand btw
What mic do you have?
Where did you get the helmet mounts?
Adapter MIC is waterproof?
Do you have a second mic for exhaust audio?
"Hi.....I've looked hi and low for a mic compatible with the adapter....where did you source the mic, i stole one temporarily from my sons plug in mic from his gaming headphones works perfectly...."
I follow u on instagram haga
Do you have a link
Wait you still need an adaptor on the 11?
nice
What mic?
Gopro mount link plz
Nice video tips
Can you use comms unit at the same time with this set up?
What mic/mod for the GoPro is that?
Perfect😊 thanks for sharing
Is that a general mike or did it came with your gopro ?
Cn u help me about gopro 7....
Nice video
What kind of screws did you use to screw the links in place? The original ones are way too large and stick out in all directions.
Which case are you using for gopro?
spicy
This is the most neat action cam set up I've seen! You're using adhesive for the adapter?
Is the adapter better than getting the video mod?
Whats the total cost of the whole setup including helmet
"Does the visor on a 1400 fit the 1500
?"
"Which go pro model is that, im considering a hero 9 for mine just for insurance purposes"
which gopro is this?
Do you charge battery when record at the sametime? or exchange it when empty
Where to buy that mount?
How do you mount your mic adapter i tried using double sided tape and velcro as well but no luck
So clean set-up
Wich go it is
I still get sooo much wind and can’t here myself in the videos
How do you block out the wind noise bro. Jus got my go pro 9. Does the mic being in your helmet help that or ?
Can you use another mic adapter? The original one is so bulky...
"Have you ever got harassed by NYPD about having ""something"" mounted to your helmet??"
How do you lock your helmet on the motorcycle when you have to?
Link to all the stuff ?
What microphone?
Clean!
That is one of the best that I have seen.
Can you answer calls/get GPS? I'm interested.
My gopro fell off with a mount like that. I bought a ridetech mount and its much better
Hi! Have you by any chance tried Shoei’s dedicated mic and sound system the SRL 2?
"What go pro are you using? Your videos are awesome, are you back riding yet after your surgery?"
What happened to the k6?
Smoove
What mic do you use? I find it hard to find a decent one
"Great, you will surely make amazing vlogs with this equipment."
"How do you find the helmet? Is it worth the money? I'm about to pull the trigger and get one, but the price is a bit steep. Love your vlogs btw :) the last splitting one was spicy!"
"Cool. So let him serve well! (However, we will soon see it in the vlogs :-) )"
